ARRIVAL_TIME,DEPARTURE_TIME,SHAPE_DIST_TRAVELED,STOP_ID,STOP_SEQUENCE,TRIP_ID,GEOMETRY_COORDINATES,STOP_NAME
8:50:00,8:50:00,5.29625,U6955Z2,5,331_257_200302,"[14.42772, 49.93928]","Ohrobec,Zvolská"
8:51:00,8:51:00,5.77318,U1512Z2,6,331_257_200302,"[14.43147, 49.9424]","Ohrobec,U Rybníka"
8:53:00,8:53:00,6.42571,U1506Z2,7,331_257_200302,"[14.43407, 49.94786]","Ohrobec,U Čisteckých"
8:56:00,8:56:00,8.14288,U1510Z2,8,331_257_200302,"[14.45069, 49.95853]","Dolní Břežany,Na Rovném"
8:58:00,8:58:00,8.54412,U1511Z2,9,331_257_200302,"[14.45285, 49.96176]","Dolní Břežany,Hřiště"
8:59:00,8:59:00,8.98967,U1503Z2,10,331_257_200302,"[14.45708, 49.96319]","Dolní Břežany,Obecní úřad"
9:00:00,9:00:00,9.14803,U1502Z2,11,331_257_200302,"[14.45889, 49.96373]","Dolní Břežany,Náměstí"
9:02:00,9:02:00,9.76959,U1501Z2,12,331_257_200302,"[14.46199, 49.96894]","Dolní Břežany,Na kopečku"
9:06:00,9:06:00,12.52688,U545Z2,13,331_257_200302,"[14.46853, 49.99163]",Písnice
9:07:00,9:07:00,12.90657,U546Z2,14,331_257_200302,"[14.46768, 49.99496]",Ke Březině
9:08:00,9:08:00,13.1065,U871Z2,15,331_257_200302,"[14.46765, 49.99676]",Lipovická
9:09:00,9:09:00,13.60804,U369Z2,16,331_257_200302,"[14.4666, 50.0012]",Sídliště Písnice
9:10:00,9:10:00,14.08075,U783Z2,17,331_257_200302,"[14.46417, 50.00515]",U Libušské sokolovny
9:11:00,9:11:00,14.45076,U335Z2,18,331_257_200302,"[14.46275, 50.00834]",Libuš
9:12:00,9:12:00,14.76142,U804Z2,19,331_257_200302,"[14.46015, 50.01056]",U Zvoničky
9:13:00,9:13:00,15.12029,U194Z2,20,331_257_200302,"[14.45772, 50.01337]",Jalodvorská
9:15:00,9:15:00,15.98916,U749Z2,21,331_257_200302,"[14.45197, 50.02019]",Tempo
9:16:00,9:16:00,16.32799,U656Z2,22,331_257_200302,"[14.45149, 50.02318]",Sídliště Krč
9:17:00,9:17:00,16.79198,U893Z4,23,331_257_200302,"[14.45143, 50.02735]",Zálesí
9:19:00,9:19:00,17.34484,U488Z7,24,331_257_200302,"[14.45515, 50.03038]",Nemocnice Krč
9:23:00,9:23:00,18.70798,U228Z5,25,331_257_200302,"[14.46033, 50.04203]",Kačerov
9:18:00,9:18:00,0.0,U1503Z2,1,333_677_200302,"[14.45708, 49.96319]","Dolní Břežany,Obecní úřad"
9:19:00,9:19:00,0.15836,U1502Z2,2,333_677_200302,"[14.45889, 49.96373]","Dolní Břežany,Náměstí"
9:21:00,9:21:00,0.77992,U1501Z2,3,333_677_200302,"[14.46199, 49.96894]","Dolní Břežany,Na kopečku"
9:25:00,9:25:00,3.53721,U545Z2,4,333_677_200302,"[14.46853, 49.99163]",Písnice
9:26:00,9:26:00,3.9169,U546Z2,5,333_677_200302,"[14.46768, 49.99496]",Ke Březině
9:27:00,9:27:00,4.11683,U871Z2,6,333_677_200302,"[14.46765, 49.99676]",Lipovická
9:28:00,9:28:00,4.61837,U369Z2,7,333_677_200302,"[14.4666, 50.0012]",Sídliště Písnice
9:29:00,9:29:00,5.09108,U783Z2,8,333_677_200302,"[14.46417, 50.00515]",U Libušské sokolovny
9:30:00,9:30:00,5.46109,U335Z2,9,333_677_200302,"[14.46275, 50.00834]",Libuš
9:31:00,9:31:00,5.77175,U804Z2,10,333_677_200302,"[14.46015, 50.01056]",U Zvoničky
9:32:00,9:32:00,6.13062,U194Z2,11,333_677_200302,"[14.45772, 50.01337]",Jalodvorská
9:34:00,9:34:00,6.99949,U749Z2,12,333_677_200302,"[14.45197, 50.02019]",Tempo
9:35:00,9:35:00,7.33832,U656Z2,13,333_677_200302,"[14.45149, 50.02318]",Sídliště Krč
9:36:00,9:36:00,7.80231,U893Z4,14,333_677_200302,"[14.45143, 50.02735]",Zálesí
9:38:00,9:38:00,8.35517,U488Z7,15,333_677_200302,"[14.45515, 50.03038]",Nemocnice Krč
9:42:00,9:42:00,9.71831,U228Z5,16,333_677_200302,"[14.46033, 50.04203]",Kačerov
9:08:00,9:08:00,0.0,U1905Z2,1,333_1072_200302,"[14.42129, 49.92397]","Zvole,Nová Zvole"
9:09:00,9:09:00,0.78092,U1904Z2,2,333_1072_200302,"[14.4239, 49.93073]","Zvole,Jílovská"
9:12:00,9:12:00,1.12043,U1513Z2,3,333_1072_200302,"[14.42259, 49.93355]",Zvole
9:13:00,9:13:00,1.87853,U6955Z2,4,333_1072_200302,"[14.42772, 49.93928]","Ohrobec,Zvolská"
9:14:00,9:14:00,2.35547,U1512Z2,5,333_1072_200302,"[14.43147, 49.9424]","Ohrobec,U Rybníka"
9:15:00,9:15:00,2.70553,U1507Z1,6,333_1072_200302,"[14.43122, 49.94374]",Ohrobec
9:16:00,9:16:00,3.63546,U1508Z1,7,333_1072_200302,"[14.41994, 49.94742]","Ohrobec,Károv"
9:17:00,9:17:00,4.26147,U1509Z1,8,333_1072_200302,"[14.41138, 49.94843]","Dolní Břežany,Zálepy"
9:19:00,9:19:00,4.8918,U1508Z2,9,333_1072_200302,"[14.41998, 49.94736]","Ohrobec,Károv"
9:21:00,9:21:00,5.87219,U1507Z2,10,333_1072_200302,"[14.43195, 49.94371]",Ohrobec
9:23:00,9:23:00,6.37037,U1506Z2,11,333_1072_200302,"[14.43407, 49.94786]","Ohrobec,U Čisteckých"
9:25:00,9:25:00,7.61174,U1504Z1,12,333_1072_200302,"[14.43284, 49.95618]","Dolní Břežany,Lhota"
9:29:00,9:29:00,9.63606,U1503Z2,13,333_1072_200302,"[14.45708, 49.96319]","Dolní Břežany,Obecní úřad"
9:30:00,9:30:00,9.79442,U1502Z2,14,333_1072_200302,"[14.45889, 49.96373]","Dolní Břežany,Náměstí"
9:32:00,9:32:00,10.41599,U1501Z2,15,333_1072_200302,"[14.46199, 49.96894]","Dolní Břežany,Na kopečku"
9:36:00,9:36:00,13.17327,U545Z2,16,333_1072_200302,"[14.46853, 49.99163]",Písnice
9:37:00,9:37:00,13.55296,U546Z2,17,333_1072_200302,"[14.46768, 49.99496]",Ke Březině
9:38:00,9:38:00,13.7529,U871Z2,18,333_1072_200302,"[14.46765, 49.99676]",Lipovická
9:39:00,9:39:00,14.25444,U369Z2,19,333_1072_200302,"[14.4666, 50.0012]",Sídliště Písnice
9:40:00,9:40:00,14.72715,U783Z2,20,333_1072_200302,"[14.46417, 50.00515]",U Libušské sokolovny
9:41:00,9:41:00,15.09715,U335Z2,21,333_1072_200302,"[14.46275, 50.00834]",Libuš
9:42:00,9:42:00,15.40782,U804Z2,22,333_1072_200302,"[14.46015, 50.01056]",U Zvoničky
9:43:00,9:43:00,15.76668,U194Z2,23,333_1072_200302,"[14.45772, 50.01337]",Jalodvorská
9:45:00,9:45:00,16.63555,U749Z2,24,333_1072_200302,"[14.45197, 50.02019]",Tempo
9:46:00,9:46:00,16.97438,U656Z2,25,333_1072_200302,"[14.45149, 50.02318]",Sídliště Krč
9:47:00,9:47:00,17.43838,U893Z4,26,333_1072_200302,"[14.45143, 50.02735]",Zálesí
9:49:00,9:49:00,17.99124,U488Z7,27,333_1072_200302,"[14.45515, 50.03038]",Nemocnice Krč
9:53:00,9:53:00,19.35437,U228Z5,28,333_1072_200302,"[14.46033, 50.04203]",Kačerov
6:57:00,6:57:00,0.0,U1509Z1,1,333_557_200302,"[14.41138, 49.94843]","Dolní Břežany,Zálepy"
6:59:00,6:59:00,0.63032,U1508Z2,2,333_557_200302,"[14.41998, 49.94736]","Ohrobec,Károv"
7:01:00,7:01:00,1.61071,U1507Z2,3,333_557_200302,"[14.43195, 49.94371]",Ohrobec
7:03:00,7:03:00,2.1089,U1506Z2,4,333_557_200302,"[14.43407, 49.94786]","Ohrobec,U Čisteckých"
7:05:00,7:05:00,3.35027,U1504Z1,5,333_557_200302,"[14.43284, 49.95618]","Dolní Břežany,Lhota"
7:09:00,7:09:00,5.37459,U1503Z2,6,333_557_200302,"[14.45708, 49.96319]","Dolní Břežany,Obecní úřad"
7:10:00,7:10:00,5.53295,U1502Z2,7,333_557_200302,"[14.45889, 49.96373]","Dolní Břežany,Náměstí"
7:12:00,7:12:00,6.15451,U1501Z2,8,333_557_200302,"[14.46199, 49.96894]","Dolní Břežany,Na kopečku"
7:16:00,7:16:00,8.91179,U545Z2,9,333_557_200302,"[14.46853, 49.99163]",Písnice
7:17:00,7:17:00,9.29149,U546Z2,10,333_557_200302,"[14.46768, 49.99496]",Ke Březině
7:18:00,7:18:00,9.49142,U871Z2,11,333_557_200302,"[14.46765, 49.99676]",Lipovická
7:19:00,7:19:00,9.99296,U369Z2,12,333_557_200302,"[14.4666, 50.0012]",Sídliště Písnice
7:20:00,7:20:00,10.46567,U783Z2,13,333_557_200302,"[14.46417, 50.00515]",U Libušské sokolovny
7:21:00,7:21:00,10.83568,U335Z2,14,333_557_200302,"[14.46275, 50.00834]",Libuš
7:22:00,7:22:00,11.14634,U804Z2,15,333_557_200302,"[14.46015, 50.01056]",U Zvoničky
7:23:00,7:23:00,11.50521,U194Z2,16,333_557_200302,"[14.45772, 50.01337]",Jalodvorská
7:25:00,7:25:00,12.37408,U749Z2,17,333_557_200302,"[14.45197, 50.02019]",Tempo
7:26:00,7:26:00,12.71291,U656Z2,18,333_557_200302,"[14.45149, 50.02318]",Sídliště Krč
7:27:00,7:27:00,13.1769,U893Z4,19,333_557_200302,"[14.45143, 50.02735]",Zálesí
7:29:00,7:29:00,13.72976,U488Z7,20,333_557_200302,"[14.45515, 50.03038]",Nemocnice Krč
7:33:00,7:33:00,15.09289,U228Z5,21,333_557_200302,"[14.46033, 50.04203]",Kačerov
6:46:00,6:46:00,0.0,U2109Z2,1,331_241_200302,"[14.49348, 49.89506]","Jílové u Prahy,Náměstí"
6:48:00,6:48:00,0.65952,U2100Z2,2,331_241_200302,"[14.48552, 49.8974]","Jílové u Prahy,Učiliště"
6:52:00,6:52:00,2.37567,U1586Z2,3,331_241_200302,"[14.46857, 49.89977]","Jílové u Prahy,Kamenná Vrata"
6:54:00,6:54:00,4.03046,U1521Z2,4,331_241_200302,"[14.45916, 49.90944]","Okrouhlo,Zahořany"
6:58:00,6:58:00,5.86913,U1520Z2,5,331_241_200302,"[14.44766, 49.91885]",Okrouhlo
7:01:00,7:01:00,8.2291,U1904Z2,6,331_241_200302,"[14.4239, 49.93073]","Zvole,Jílovská"
7:04:00,7:04:00,8.56861,U1513Z2,7,331_241_200302,"[14.42259, 49.93355]",Zvole
7:05:00,7:05:00,9.32671,U6955Z2,8,331_241_200302,"[14.42772, 49.93928]","Ohrobec,Zvolská"
7:06:00,7:06:00,9.80365,U1512Z2,9,331_241_200302,"[14.43147, 49.9424]","Ohrobec,U Rybníka"
7:08:00,7:08:00,10.45618,U1506Z2,10,331_241_200302,"[14.43407, 49.94786]","Ohrobec,U Čisteckých"
7:11:00,7:11:00,12.17335,U1510Z2,11,331_241_200302,"[14.45069, 49.95853]","Dolní Břežany,Na Rovném"
7:13:00,7:13:00,12.57459,U1511Z2,12,331_241_200302,"[14.45285, 49.96176]","Dolní Břežany,Hřiště"
7:14:00,7:14:00,13.02013,U1503Z2,13,331_241_200302,"[14.45708, 49.96319]","Dolní Břežany,Obecní úřad"
7:15:00,7:15:00,13.17849,U1502Z2,14,331_241_200302,"[14.45889, 49.96373]","Dolní Břežany,Náměstí"
7:17:00,7:17:00,13.80006,U1501Z2,15,331_241_200302,"[14.46199, 49.96894]","Dolní Břežany,Na kopečku"
7:21:00,7:21:00,16.55734,U545Z2,16,331_241_200302,"[14.46853, 49.99163]",Písnice
7:22:00,7:22:00,16.93703,U546Z2,17,331_241_200302,"[14.46768, 49.99496]",Ke Březině
7:23:00,7:23:00,17.13697,U871Z2,18,331_241_200302,"[14.46765, 49.99676]",Lipovická
7:24:00,7:24:00,17.63851,U369Z2,19,331_241_200302,"[14.4666, 50.0012]",Sídliště Písnice
7:25:00,7:25:00,18.11122,U783Z2,20,331_241_200302,"[14.46417, 50.00515]",U Libušské sokolovny
7:26:00,7:26:00,18.48122,U335Z2,21,331_241_200302,"[14.46275, 50.00834]",Libuš
7:27:00,7:27:00,18.79189,U804Z2,22,331_241_200302,"[14.46015, 50.01056]",U Zvoničky
7:28:00,7:28:00,19.15075,U194Z2,23,331_241_200302,"[14.45772, 50.01337]",Jalodvorská
7:30:00,7:30:00,20.01962,U749Z2,24,331_241_200302,"[14.45197, 50.02019]",Tempo
7:31:00,7:31:00,20.35845,U656Z2,25,331_241_200302,"[14.45149, 50.02318]",Sídliště Krč
7:32:00,7:32:00,20.82245,U893Z4,26,331_241_200302,"[14.45143, 50.02735]",Zálesí
7:34:00,7:34:00,21.37531,U488Z7,27,331_241_200302,"[14.45515, 50.03038]",Nemocnice Krč
7:38:00,7:38:00,22.73844,U228Z5,28,331_241_200302,"[14.46033, 50.04203]",Kačerov
6:59:00,6:59:00,0.0,U1517Z2,1,333_1064_200302,"[14.41051, 49.902]","Březová-Oleško,Oleško"
7:00:00,7:00:00,0.75929,U1516Z2,2,333_1064_200302,"[14.41319, 49.90846]","Březová-Oleško,U Topolů"
7:01:00,7:01:00,1.16044,U9551Z2,3,333_1064_200302,"[14.41437, 49.91185]","Březová-Oleško,Školka"
7:02:00,7:02:00,1.63421,U1515Z2,4,333_1064_200302,"[14.41559, 49.91507]","Březová-Oleško,Březová"
7:04:00,7:04:00,2.58248,U1514Z2,5,333_1064_200302,"[14.41984, 49.92087]","Zvole,Černíky"
7:05:00,7:05:00,2.9558,U1905Z2,6,333_1064_200302,"[14.42129, 49.92397]","Zvole,Nová Zvole"
7:06:00,7:06:00,3.73672,U1904Z2,7,333_1064_200302,"[14.4239, 49.93073]","Zvole,Jílovská"
7:09:00,7:09:00,4.07623,U1513Z2,8,333_1064_200302,"[14.42259, 49.93355]",Zvole
7:10:00,7:10:00,4.83433,U6955Z2,9,333_1064_200302,"[14.42772, 49.93928]","Ohrobec,Zvolská"
7:11:00,7:11:00,5.31127,U1512Z2,10,333_1064_200302,"[14.43147, 49.9424]","Ohrobec,U Rybníka"
7:13:00,7:13:00,5.9638,U1506Z2,11,333_1064_200302,"[14.43407, 49.94786]","Ohrobec,U Čisteckých"
7:15:00,7:15:00,7.20516,U1504Z1,12,333_1064_200302,"[14.43284, 49.95618]","Dolní Břežany,Lhota"
7:19:00,7:19:00,9.22949,U1503Z2,13,333_1064_200302,"[14.45708, 49.96319]","Dolní Břežany,Obecní úřad"
7:20:00,7:20:00,9.38784,U1502Z2,14,333_1064_200302,"[14.45889, 49.96373]","Dolní Břežany,Náměstí"
7:22:00,7:22:00,10.00941,U1501Z2,15,333_1064_200302,"[14.46199, 49.96894]","Dolní Břežany,Na kopečku"
7:26:00,7:26:00,12.76669,U545Z2,16,333_1064_200302,"[14.46853, 49.99163]",Písnice
7:27:00,7:27:00,13.14639,U546Z2,17,333_1064_200302,"[14.46768, 49.99496]",Ke Březině
7:28:00,7:28:00,13.34632,U871Z2,18,333_1064_200302,"[14.46765, 49.99676]",Lipovická
7:29:00,7:29:00,13.84786,U369Z2,19,333_1064_200302,"[14.4666, 50.0012]",Sídliště Písnice
7:30:00,7:30:00,14.32057,U783Z2,20,333_1064_200302,"[14.46417, 50.00515]",U Libušské sokolovny
7:31:00,7:31:00,14.69057,U335Z2,21,333_1064_200302,"[14.46275, 50.00834]",Libuš
7:32:00,7:32:00,15.00124,U804Z2,22,333_1064_200302,"[14.46015, 50.01056]",U Zvoničky
7:33:00,7:33:00,15.3601,U194Z2,23,333_1064_200302,"[14.45772, 50.01337]",Jalodvorská
7:35:00,7:35:00,16.22898,U749Z2,24,333_1064_200302,"[14.45197, 50.02019]",Tempo
7:36:00,7:36:00,16.56781,U656Z2,25,333_1064_200302,"[14.45149, 50.02318]",Sídliště Krč
7:37:00,7:37:00,17.0318,U893Z4,26,333_1064_200302,"[14.45143, 50.02735]",Zálesí
7:39:00,7:39:00,17.58466,U488Z7,27,333_1064_200302,"[14.45515, 50.03038]",Nemocnice Krč
7:43:00,7:43:00,18.94779,U228Z5,28,333_1064_200302,"[14.46033, 50.04203]",Kačerov
7:12:00,7:12:00,0.0,U1513Z2,1,333_1115_200302,"[14.42259, 49.93355]",Zvole
7:13:00,7:13:00,0.7581,U6955Z2,2,333_1115_200302,"[14.42772, 49.93928]","Ohrobec,Zvolská"
7:14:00,7:14:00,1.23504,U1512Z2,3,333_1115_200302,"[14.43147, 49.9424]","Ohrobec,U Rybníka"
7:15:00,7:15:00,1.58509,U1507Z1,4,333_1115_200302,"[14.43122, 49.94374]",Ohrobec
7:16:00,7:16:00,2.51503,U1508Z1,5,333_1115_200302,"[14.41994, 49.94742]","Ohrobec,Károv"
7:17:00,7:17:00,3.14104,U1509Z1,6,333_1115_200302,"[14.41138, 49.94843]","Dolní Břežany,Zálepy"
7:19:00,7:19:00,3.77136,U1508Z2,7,333_1115_200302,"[14.41998, 49.94736]","Ohrobec,Károv"
7:21:00,7:21:00,4.75176,U1507Z2,8,333_1115_200302,"[14.43195, 49.94371]",Ohrobec
7:23:00,7:23:00,5.24994,U1506Z2,9,333_1115_200302,"[14.43407, 49.94786]","Ohrobec,U Čisteckých"
7:25:00,7:25:00,6.49131,U1504Z1,10,333_1115_200302,"[14.43284, 49.95618]","Dolní Břežany,Lhota"
7:29:00,7:29:00,8.51563,U1503Z2,11,333_1115_200302,"[14.45708, 49.96319]","Dolní Břežany,Obecní úřad"
7:30:00,7:30:00,8.67399,U1502Z2,12,333_1115_200302,"[14.45889, 49.96373]","Dolní Břežany,Náměstí"
7:32:00,7:32:00,9.29555,U1501Z2,13,333_1115_200302,"[14.46199, 49.96894]","Dolní Břežany,Na kopečku"
7:36:00,7:36:00,12.05284,U545Z2,14,333_1115_200302,"[14.46853, 49.99163]",Písnice
7:37:00,7:37:00,12.43253,U546Z2,15,333_1115_200302,"[14.46768, 49.99496]",Ke Březině
7:38:00,7:38:00,12.63246,U871Z2,16,333_1115_200302,"[14.46765, 49.99676]",Lipovická
7:39:00,7:39:00,13.134,U369Z2,17,333_1115_200302,"[14.4666, 50.0012]",Sídliště Písnice
7:40:00,7:40:00,13.60671,U783Z2,18,333_1115_200302,"[14.46417, 50.00515]",U Libušské sokolovny
7:41:00,7:41:00,13.97672,U335Z2,19,333_1115_200302,"[14.46275, 50.00834]",Libuš
7:42:00,7:42:00,14.28738,U804Z2,20,333_1115_200302,"[14.46015, 50.01056]",U Zvoničky
7:43:00,7:43:00,14.64625,U194Z2,21,333_1115_200302,"[14.45772, 50.01337]",Jalodvorská
7:45:00,7:45:00,15.51512,U749Z2,22,333_1115_200302,"[14.45197, 50.02019]",Tempo
