TRIP_ID,DAY_OF_WEEK,DATE,UNICORN,STOP_ID,STOP_SEQUENCE,STOP_NAME,SHAPE_DIST_TRAVELED,DELAY
333_1026_200307,Saturday,2020-05-02,333_1026_200307_02_May,U804Z2,22,U Zvoničky,15.407820000000001,70.0
333_1026_200307,Saturday,2020-05-02,333_1026_200307_02_May,U194Z2,23,Jalodvorská,15.76668,63.0
333_1026_200307,Saturday,2020-05-02,333_1026_200307_02_May,U749Z2,24,Tempo,16.63555,69.0
333_1026_200307,Saturday,2020-05-02,333_1026_200307_02_May,U656Z2,25,Sídliště Krč,16.97438,44.0
333_1026_200307,Saturday,2020-05-02,333_1026_200307_02_May,U893Z4,26,Zálesí,17.43838,81.0
333_1026_200307,Saturday,2020-05-02,333_1026_200307_02_May,U488Z7,27,Nemocnice Krč,17.991239999999998,63.0
333_1026_200307,Saturday,2020-05-02,333_1026_200307_02_May,U228Z5,28,Kačerov,19.35437,-7.0
333_1012_200307,Sunday,2020-05-03,333_1012_200307_03_May,U1502Z2,14,"Dolní Břežany,Náměstí",9.387839999999999,95.0
333_1012_200307,Sunday,2020-05-03,333_1012_200307_03_May,U1501Z2,15,"Dolní Břežany,Na kopečku",10.00941,42.0
333_1012_200307,Sunday,2020-05-03,333_1012_200307_03_May,U545Z2,16,Písnice,12.766689999999999,40.0
333_1012_200307,Sunday,2020-05-03,333_1012_200307_03_May,U546Z2,17,Ke Březině,13.14639,16.0
333_1012_200307,Sunday,2020-05-03,333_1012_200307_03_May,U871Z2,18,Lipovická,13.34632,-6.0
333_1012_200307,Sunday,2020-05-03,333_1012_200307_03_May,U369Z2,19,Sídliště Písnice,13.84786,-13.0
333_1012_200307,Sunday,2020-05-03,333_1012_200307_03_May,U783Z2,20,U Libušské sokolovny,14.320570000000002,23.0
333_1012_200307,Sunday,2020-05-03,333_1012_200307_03_May,U335Z2,21,Libuš,14.690570000000001,16.0
333_1012_200307,Sunday,2020-05-03,333_1012_200307_03_May,U804Z2,22,U Zvoničky,15.00124,-2.0
333_1012_200307,Sunday,2020-05-03,333_1012_200307_03_May,U194Z2,23,Jalodvorská,15.3601,-4.0
333_1012_200307,Sunday,2020-05-03,333_1012_200307_03_May,U749Z2,24,Tempo,16.22898,-9.0
333_1012_200307,Sunday,2020-05-03,333_1012_200307_03_May,U656Z2,25,Sídliště Krč,16.56781,21.0
333_1012_200307,Sunday,2020-05-03,333_1012_200307_03_May,U893Z4,26,Zálesí,17.0318,31.0
333_1012_200307,Sunday,2020-05-03,333_1012_200307_03_May,U488Z7,27,Nemocnice Krč,17.58466,-10.0
333_1012_200307,Sunday,2020-05-03,333_1012_200307_03_May,U228Z5,28,Kačerov,18.947789999999998,-11.0
333_636_200307,Saturday,2020-05-02,333_636_200307_02_May,U1502Z2,1,"Dolní Břežany,Náměstí",0.0,89.0
333_636_200307,Saturday,2020-05-02,333_636_200307_02_May,U1501Z2,2,"Dolní Břežany,Na kopečku",0.62157,23.0
